,year,keywords,title,author
149,2017,"1916 Data and information discovery, INFORMATICS, 1920 Emerging informatics technologies, INFORMATICS, 1992 Virtual globes, INFORMATICS, 1994 Visualization and portrayal, INFORMATICS",{Along the Virtuality Continuum - Two Showcases on how xR Technologies Transform Geoscience Research and Education},"{Klippel}, A. and {Zhao}, J. and {Masrur}, A. and {Wallgruen}, J.~O. and {La Femina}, P.~C."
150,2023,,{Experience in Visualizing Satellite Data with Ar/vr Technologies at Nasa's Ges-Disc},"{Khayat}, Mohammad G. and {Abueg}, Zachariah and {Alcott}, Allison and {Mehrabian}, Armin"
151,2016,"3354 Precipitation, ATMOSPHERIC PROCESSESDE: 1854 Precipitation, HYDROLOGYDE: 1855 Remote sensing, HYDROLOGYDE: 4303 Hydrological, NATURAL HAZARDS",{Interactive Visualization of Near Real-Time and Production Global Precipitation Mission Data Online Using CesiumJS},"{Lammers}, M."
152,2019,"0810 Post-secondary education, EDUCATION, 0825 Teaching methods, EDUCATION, 0845 Instructional tools, EDUCATION, 0850 Geoscience education research, EDUCATION",{Place-based education - an immersive technologies perspective},"{Klippel}, A. and {Wallgruen}, J.~O. and {Zhao}, J. and {Oprean}, D. and {Chang}, S.~K. and {La Femina}, P.~C. and {Sajjadi}, P. and {Bagher}, M.~M."
153,2018,"0805 Elementary and secondary education, EDUCATIONDE: 0815 Informal education, EDUCATIONDE: 0845 Instructional tools, EDUCATIONDE: 0850 Geoscience education research, EDUCATION",{NASA GIBS and Worldview: Visualizing NASA's Earth Science Data for All to Explore},"{Cechini}, M.~F. and {Boller}, R.~A. and {Baynes}, K. and {Roberts}, J.~T. and {Rodriguez}, J. and {Thompson}, C.~K. and {Schmaltz}, J.~E. and {Wong}, M.~M. and {King}, B.~A. and {Rice}, Z. and {McGann}, M. and {Plato}, E. and {De Luca}, A.~P. and {King}, J. and {Pressley}, N.~N."
154,2017,"1916 Data and information discovery, INFORMATICS, 1920 Emerging informatics technologies, INFORMATICS, 1992 Virtual globes, INFORMATICS, 1994 Visualization and portrayal, INFORMATICS",{Immersive Visual Data Analysis For Geoscience Using Commodity VR Hardware},"{Kreylos}, O. and {Kellogg}, L.~H."
155,2023,,{Enhancing Flood Risk Management for Urban Coastal Communities Using Low-Cost LiDAR Applications},"{Ofterdinger}, Ulrich and {Miller}, Aaron and {Peng}, Yong and {Meneely}, John and {McKinley}, Jennifer and {Bertolotto}, Michela and {Vo}, An Vu and {Laefer}, Debra"
156,2023,,"{Culturally Relevant Experiential Curriculum via Empirical Labs \& Emerging Networked Telescopes,(CR-EXCELENT)}","{M Haghanikar}, Mojgan"
157,2017,"1916 Data and information discovery, INFORMATICS, 1920 Emerging informatics technologies, INFORMATICS, 1992 Virtual globes, INFORMATICS, 1994 Visualization and portrayal, INFORMATICS","{Immersive Interaction, Manipulation and Analysis of Large 3D Datasets for Planetary and Earth Sciences}","{Pariser}, O. and {Calef}, F. and {Manning}, E.~M. and {Ardulov}, V."
158,2014,"0750 Sea ice, 0758 Remote sensing, 0776 Glaciology, 0794 Instruments and techniques",{Photogrammetric Processing of IceBridge DMS Imagery into High-Resolution Digital Surface Models (DEM and Visible Overlay)},"{Arvesen}, J.~C. and {Dotson}, R.~C."
159,2023,,{Creating Data-Driven Interactive Virtual Environments for Communicating Forest Change},"{Mahoney}, Mike and {Beier}, Colin M. and {Ackerman}, Aidan C."
160,2018,"0805 Elementary and secondary education, EDUCATIONDE: 0815 Informal education, EDUCATIONDE: 0825 Teaching methods, EDUCATIONDE: 0840 Evaluation and assessment, EDUCATION",{Designing Fossil-based Collaborative Learning Activities about Evolution and the History of Life on Earth},"{Robertson}, G.~F. and {Popson}, C.~P. and {Bolton}, A."
161,2021,,{From Risk to Resilience: Connecting Communities to Coastal Hazards Through Interactive \& Immersive Design},"{Roop}, Heidi and {Neff}, Peter and {Grodnik-Nagle}, Ann and {Purnell}, Danielle"
162,2018,"1920 Emerging informatics technologies, INFORMATICSDE: 1926 Geospatial, INFORMATICSDE: 1992 Virtual globes, INFORMATICSDE: 1994 Visualization and portrayal, INFORMATICS",{Worldview AR: An Interactive Augmented Reality Prototype for NASA Earth Observing Satellite Imagery},"{Miller}, J. and {Boller}, R.~A. and {Roberts}, J.~T. and {Luo}, V. and {Wong}, M.~M. and {Rice}, Z. and {McGann}, M. and {Plato}, E. and {Baynes}, K."
163,2016,"0815 Informal education, EDUCATIONDE: 0820 Curriculum and laboratory design, EDUCATIONDE: 0840 Evaluation and assessment, EDUCATIONDE: 0845 Instructional tools, EDUCATION","{The power of videogame-like experiences for explanatory storytelling in science, education, and healthcare.}","{Sarno}, D.~A. and {Hayes}, J."
164,2006,"0530 Data presentation and visualization, 9810 New fields (not classifiable under other headings), 9820 Techniques applicable in three or more fields","{NASA World Wind, Open Source 4D Geospatial Visualization Platform: *.NET \& Java* for EDUCATION}","{Hogan}, P. and {Kuehnel}, F."
165,2014,7299 General or miscellaneous,{The VERCE Science Gateway: Enabling User Friendly HPC Seismic Wave Simulations.},"{Casarotti}, E. and {Spinuso}, A. and {Matser}, J. and {Leong}, S.~H. and {Magnoni}, F. and {Krause}, A. and {Garcia}, C.~R. and {Muraleedharan}, V. and {Krischer}, L. and {Anthes}, C."
166,2022,,{Polar Explorer: An Interactive Virtual Field Trip-Based Exploration of Alaska and the Changing Arctic},"{Huntzinger}, Deborah N. and {Mead}, Chris and {Thompson}, Lisa and {Bruce}, Geoffrey and {Anbar}, Ariel D. and {Mack}, Michelle C. and {Schaefer}, Kevin M. and {Leshyk}, Victor O. and {Taylor}, Wendy"
167,2007,"0820 Curriculum and laboratory design, 0825 Teaching methods, 0840 Evaluation and assessment, 0845 Instructional tools, 0850 Geoscience education research",{Studying Geology of Central Texas through Web-Based Virtual Field Trips},"{Chan}, C. and {Khan}, S.~D. and {Wellner}, J.~S."
168,2011,"0820 EDUCATION / Curriculum and laboratory design, 0850 EDUCATION / Geoscience education research, 8488 VOLCANOLOGY / Volcanic hazards and risks, 4302 NATURAL HAZARDS / Geological",{Volcanic Hazard Education through Virtual Field studies of Vesuvius and Laki Volcanoes},"{Carey}, S. and {Sigurdsson}, H."
169,2017,"0805 Elementary and secondary education, EDUCATION, 0815 Informal education, EDUCATION, 0825 Teaching methods, EDUCATION, 0845 Instructional tools, EDUCATION",{``Handling'' seismic hazard: 3D printing of California Faults},"{Kyriakopoulos}, C. and {Potter}, M. and {Richards-Dinger}, K.~B."
170,2008,"0530 Data presentation and visualization, 0545 Modeling (4255), 8010 Fractures and faults, 8125 Evolution of the Earth (0325)",{Using Interactive Visualization to Analyze Solid Earth Data and Geodynamics Models},"{Kellogg}, L.~H. and {Kreylos}, O. and {Billen}, M.~I. and {Hamann}, B. and {Jadamec}, M.~A. and {Rundle}, J.~B. and {van Aalsburg}, J. and {Yikilmaz}, M.~B."
171,2006,"2723 Magnetic reconnection (7526, 7835), 2744 Magnetotail, 2753 Numerical modeling, 2784 Solar wind/magnetosphere interactions",{3D Visualization Analysis of Magnetic Flux Rope in the Earth's Magnetotail},"{Matsuoka}, D. and {Murata}, K. and {Fujita}, S. and {Tanaka}, T. and {Yamamoto}, K."
172,2018,"1920 Emerging informatics technologies, INFORMATICSDE: 1926 Geospatial, INFORMATICSDE: 1992 Virtual globes, INFORMATICSDE: 1994 Visualization and portrayal, INFORMATICS",{A Virtual Forest: A case study of the advantages and disadvantages of new digital technologies in earth science research},"{Christianson}, D.~S."
173,2021,,{The Gandalf Staff: A Mobile Tool for Lunar Exploration},"{Evans}, Michael and {Bacon}, John and {Graham}, Lee and {Leonard}, Matthew and {Zanetti}, Michael and {Morgan}, Joseph and {Harris}, Christopher"
174,2017,"1916 Data and information discovery, INFORMATICS, 1920 Emerging informatics technologies, INFORMATICS, 1992 Virtual globes, INFORMATICS, 1994 Visualization and portrayal, INFORMATICS",{Combining photorealistic immersive geovisualization and high-resolution geospatial data to enhance human-scale viewshed modelling},"{Tabrizian}, P. and {Petrasova}, A. and {Baran}, P. and {Petras}, V. and {Mitasova}, H. and {Meentemeyer}, R.~K."
175,2018,"1828 Groundwater hydraulics, HYDROLOGYDE: 1829 Groundwater hydrology, HYDROLOGYDE: 1831 Groundwater quality, HYDROLOGYDE: 1847 Modeling, HYDROLOGY","{Data, or Geology{\textellipsis} or Both? A Multi-Model Analysis of Solute Plume Behavior in a Synthetic Braided-River Deposit.}","{Cirpka}, O.~A. and {Bennett}, J. and {Haslauer}, C.~P. and {Renard}, P."
176,2015,"3337 Global climate models, ATMOSPHERIC PROCESSES, 3360 Remote sensing, ATMOSPHERIC PROCESSES, 1626 Global climate models, GLOBAL CHANGE, 1627 Coupled models of the climate system, GLOBAL CHANGE",{Extending Climate Analytics-As to the Earth System Grid Federation},"{Tamkin}, G. and {Schnase}, J.~L. and {Duffy}, D. and {McInerney}, M. and {Nadeau}, D. and {Li}, J. and {Strong}, S. and {Thompson}, J.~H."
177,2009,"0530 COMPUTATIONAL GEOPHYSICS / Data presentation and visualization, 1994 INFORMATICS / Visualization and portrayal, 7209 SEISMOLOGY / Earthquake dynamics",{Visualization of 3 Dimensional Seismic Vector Fields},"{McQuinn}, E. and {Chourasia}, A. and {Minster}, J.~H. and {Schulze}, J."
178,2023,,{Translating Data into Interactive Frameworks: A Wildfire Case Study Using Game Engine and AI/NLP Technology},"{Solis}, Shayna and {Silcott}, Adam"
179,2018,"0805 Elementary and secondary education, EDUCATIONDE: 0815 Informal education, EDUCATIONDE: 0845 Instructional tools, EDUCATIONDE: 0850 Geoscience education research, EDUCATION",{Unleashing the Potential of VR in the Geophysical Sciences: Lessons from The Field and Beyond},"{Raja}, U."
180,2011,"1105 GEOCHRONOLOGY / Quaternary geochronology, 7221 SEISMOLOGY / Paleoseismology, 8175 TECTONOPHYSICS / Tectonics and landscape evolution, 8177 TECTONOPHYSICS / Tectonics and climatic interactions",{Offset Landforms Record the Holocene History of Fault Slip Along the Mojave Section of the San Andreas Fault},"{Compton}, T. and {Cowgill}, E. and {Westerteiger}, R. and {Bernardin}, T.~S."
181,2019,"6205 Asteroids, PLANETARY SCIENCES: SOLAR SYSTEM OBJECTS, 6230 Martian satellites, PLANETARY SCIENCES: SOLAR SYSTEM OBJECTS, 6250 Moon, PLANETARY SCIENCES: SOLAR SYSTEM OBJECTS",{Returning to the Moon: CanMoon and the Role of Analogue Missions},"{Osinski}, G. and {Marion}, C. and {Morse}, Z. and {Newman}, J. and {Pilles}, E. and {Tornabene}, L.~L. and {Caudill}, C. and {Christoffersen}, P."
182,2017,"0430 Computational methods and data processing, BIOGEOSCIENCES, 1805 Computational hydrology, HYDROLOGY, 1846 Model calibration, HYDROLOGY, 1873 Uncertainty assessment, HYDROLOGY",{Evaluating Predictive Uncertainty of Hyporheic Exchange Modelling},"{Chow}, R. and {Bennett}, J. and {Dugge}, J. and {W{\""o}hling}, T. and {Nowak}, W."
183,2018,"0805 Elementary and secondary education, EDUCATIONDE: 0815 Informal education, EDUCATIONDE: 0845 Instructional tools, EDUCATIONDE: 0850 Geoscience education research, EDUCATION",{Adapting 3D Visualizations to Meet the Needs of Educators in Earth and Space Sciences},"{Anbar}, A.~D. and {Manfredi}, L. and {Bratton}, III, D. and {Tamer}, A.~J.~J."
184,2001,"3035 Midocean ridge processes, 3045 Seafloor morphology and bottom photography, 3094 Instruments and techniques, 8135 Hydrothermal systems (8424)","{The NeMO Explorer Web Site: Interactive Exploration of a Recent Submarine Eruption and Hydrothermal Vents, Axial Volcano, Juan de Fuca Ridge}","{Weiland}, C. and {Chadwick}, W.~W. and {Embley}, R.~W."
185,2019,"0850 Geoscience education research, EDUCATION, 9820 Techniques applicable in three or more fields, GENERAL OR MISCELLANEOUS, 1992 Virtual globes, INFORMATICS, 1994 Visualization and portrayal, INFORMATICS",{Virtual and Augmented Reality for Visualization of Big Data: Examples from Deep Earth to Subsurface},"{Duzgun}, S. and {Isleyen}, E. and {Demirkan}, D.~C. and {Orsvuran}, R. and {Bozdag}, E. and {Pugmire}, D."
186,2001,"2740 Magnetospheric configuration and dynamics, 2760 Plasma convection, 2778 Ring current, 2794 Instruments and techniques",{A UBK-space Visualization Tool for the Magnetosphere},"{Mohan}, M. and {Sheldon}, R.~B."
187,2024,,{Polar Explorer: A Place-Based Virtual Learning Environment to Improve STEM Undergraduate Education},"{Huntzinger}, Deborah N. and {Mead}, Chris and {Bruce}, Geoffrey and {Schaefer}, Kevin M. and {Mack}, Michelle C. and {Taylor}, Wendy and {Thompson}, Lisa and {Logan}, Rosemary and {Leshyk}, Victor O. and {Anbar}, Ariel D."
188,2017,"6205 Asteroids, PLANETARY SCIENCES: SOLAR SYSTEM OBJECTS, 6230 Martian satellites, PLANETARY SCIENCES: SOLAR SYSTEM OBJECTS, 6250 Moon, PLANETARY SCIENCES: SOLAR SYSTEM OBJECTS, 5470 Surface materials and properties, PLANETARY SCIENCES: SOLID SURFACE PLANETS","{Terrestrial Analogs for Surface Properties Associated with Impact Cratering on the Moon - Self-secondary Impact Features at Kings Bowl, Idaho}","{Matiella Novak}, M.~A. and {Zanetti}, M. and {Neish}, C. and {Kukko}, A. and {Fan}, K. and {Heldmann}, J. and {Hughes}, S.~S."
189,2017,"0855 Diversity, EDUCATION, 1699 General or miscellaneous, GLOBAL CHANGE, 6630 Workforce, PUBLIC ISSUES, 6699 General or miscellaneous, PUBLIC ISSUES",{Girls InSpace project: A new space physics outreach initiative.},"{Abe Pacini}, A. and {Tegbaru}, D. and {Max}, Sr., A."
190,2009,"1902 INFORMATICS / Community modeling frameworks, 1926 INFORMATICS / Geospatial, 1992 INFORMATICS / Virtual globes, 1994 INFORMATICS / Visualization and portrayal",{New Frontiers in Fault Model Visualization and Interaction},"{van Aalsburg}, J. and {Yikilmaz}, M.~B. and {Kreylos}, O. and {Kellogg}, L.~H. and {Rundle}, J.~B."
191,2008,"0530 Data presentation and visualization, 0545 Modeling (4255), 0594 Instruments and techniques, 0845 Instructional tools",{Visualizer: 3D Gridded Data Visualization Software for Geoscience Education and Research},"{Harwood}, C. and {Billen}, M.~I. and {Kreylos}, O. and {Jadamec}, M. and {Sumner}, D.~Y. and {Kellogg}, L.~H. and {Hamann}, B."
192,2018,"1916 Data and information discovery, INFORMATICSDE: 1930 Data and information governance, INFORMATICSDE: 1946 Metadata, INFORMATICSDE: 1976 Software tools and services, INFORMATICS",{NASA GIBS and Worldview: Leveraging Visualizations to Improve Data Discovery},"{Cechini}, M.~F. and {Boller}, R.~A. and {Baynes}, K. and {Roberts}, J.~T. and {Rodriguez}, J. and {Thompson}, C.~K. and {Schmaltz}, J.~E. and {Wong}, M.~M. and {King}, B.~A. and {Rice}, Z. and {McGann}, M. and {Plato}, E. and {De Luca}, A.~P. and {King}, J. and {Pressley}, N.~N."
193,2020,"1964 Real-time and responsive information delivery, INFORMATICS, 1972 Sensor web, INFORMATICS, 4303 Hydrological, NATURAL HAZARDS, 4337 Remote sensing and disasters, NATURAL HAZARDS",{Evaluation of Remote-Sensing Architectures using the Virtual Constellation Engine},"{Paolieri}, M. and {French}, M. and {Menon}, V. and {Schmidt}, A."
194,2007,"0530 Data presentation and visualization, 0594 Instruments and techniques",{A 3D Immersive Fault Visualizer and Editor},"{Yikilmaz}, M.~B. and {van Aalsburg}, J. and {Kreylos}, O. and {Kellogg}, L.~H. and {Rundle}, J.~B."
195,2020,"0815 Informal education, EDUCATION, 0830 Teacher training, EDUCATION, 0850 Geoscience education research, EDUCATION, 0855 Diversity, EDUCATION","{GP-IMPACTS: Nevada's GeoGateway Program-A Collaboration Between Nevada State College, College of Southern Nevada, and the Desert Research Institute}","{Buck}, P. and {Edmonds}, J.~W. and {Jasoni}, R.~L. and {Rosales Lagarde}, L."
196,2023,,{3D Plume Shapes from Seismic Tomographic Models: Towards New Constraints on Mantle Dynamics},"{Lu}, Qianyi and {Rudolph}, Maxwell L."
197,2018,"0805 Elementary and secondary education, EDUCATIONDE: 0815 Informal education, EDUCATIONDE: 0820 Curriculum and laboratory design, EDUCATIONDE: 0855 Diversity, EDUCATION",{Developing Classroom Rock Kits and Instructional Modules to Address K-12 Earth Science Standards of Learning},"{Van Tol}, S. and {Johnson}, E.~A. and {Whitmeyer}, S.~J. and {Chen}, Y."
198,2024,,{The Antarctic Meteorological Research and Data Center: New Directions in Open Data Tools for Polar Research},"{Noojin}, Matthew and {Lazzara}, Matthew A."
199,2018,"0805 Elementary and secondary education, EDUCATIONDE: 0815 Informal education, EDUCATIONDE: 0840 Evaluation and assessment, EDUCATIONDE: 0845 Instructional tools, EDUCATION","{Exploring Science Data with NASA's STEM Innovation Lab: Explore, Create, Share}","{Cline}, T.~D. and {Sasser}, L. and {Stephenson}, B.~E."
200,2004,3900 MINERAL PHYSICS,{Interactive Modelling of Molecular Structures},"{Rustad}, J.~R. and {Kreylos}, O. and {Hamann}, B."
201,2020,"0815 Informal education, EDUCATION, 0845 Instructional tools, EDUCATION, 1635 Oceans, GLOBAL CHANGE, 6620 Science policy, POLICY SCIENCES \& PUBLIC ISSUES","{Harnessing virtual platforms to build a low-carbon, equitable, and fun future for science}","{Owens}, D. and {Ross}, K.~W. and {Sarmiento}, L.~F. and {Searby}, N.~D. and {Cobb}, K.~M. and {Polepeddi}, L. and {McIntyre}, B."
202,2014,"0805 Elementary and secondary education, 0810 Post-secondary education, 0820 Curriculum and laboratory design, 0845 Instructional tools","{Shaping Watersheds Exhibit: An Interactive, Augmented Reality Sandbox for Advancing Earth Science Education}","{Reed}, S.~E. and {Kreylos}, O. and {Hsi}, S. and {Kellogg}, L.~H. and {Schladow}, G. and {Yikilmaz}, M.~B. and {Segale}, H. and {Silverman}, J. and {Yalowitz}, S. and {Sato}, E."
203,2016,"0810 Post-secondary education, EDUCATIONDE: 0815 Informal education, EDUCATIONDE: 1902 Community modeling frameworks, INFORMATICS",{What do we do with all this video? Better understanding public engagement for image and video annotation},"{Wiener}, C. and {Miller}, A. and {Zykov}, V."
204,2021,,{Virtual Field-Meets-Lab Experiences: Using VFEs to Showcase Organic Geochemistry and Paleoclimate Research},"{Harris}, Kira and {Tierney}, Jessica and {Anchukaitis}, Kevin and {Arens}, Adelyn and {Cervenec}, Jason"
205,2008,"0530 Data presentation and visualization, 0545 Modeling (4255), 0550 Model verification and validation","{An Interactive, 3D Fault Editor for VR Environments}","{van Aalsburg}, J. and {Yikilmaz}, M.~B. and {Kreylos}, O. and {Kellogg}, L.~H. and {Rundle}, J.~B."
206,2017,"1626 Global climate models, GLOBAL CHANGE, 1920 Emerging informatics technologies, INFORMATICS, 1932 High-performance computing, INFORMATICS, 1994 Visualization and portrayal, INFORMATICS",{The NASA Reanalysis Ensemble Service - Advanced Capabilities for Integrated Reanalysis Access and Intercomparison},"{Tamkin}, G. and {Schnase}, J.~L. and {Duffy}, D. and {Li}, J. and {Strong}, S. and {Thompson}, J.~H."
207,2011,"1910 INFORMATICS / Data assimilation, integration and fusion, 1926 INFORMATICS / Geospatial, 1928 INFORMATICS / GIS science, 1964 INFORMATICS / Real-time and responsive information delivery",{Towards a Virtual 4D Data Cube for Near Real-Time Applications},"{Nguyen}, L. and {Minnis}, P. and {Palikonda}, R. and {Chee}, T. and {Nelson}, M.~L."
208,2010,"0820 EDUCATION / Curriculum and laboratory design, 0850 EDUCATION / Geoscience education research, 1908 INFORMATICS / Cyberinfrastructure, 1992 INFORMATICS / Virtual globes",{Real Students and Virtual Field Trips},"{de Paor}, D.~G. and {Whitmeyer}, S.~J. and {Bailey}, J.~E. and {Schott}, R.~C. and {Treves}, R. and {Scientific Team Of Www. Digitalplanet. Org}"
209,2016,"1908 Cyberinfrastructure, INFORMATICSDE: 1926 Geospatial, INFORMATICSDE: 1936 Interoperability, INFORMATICSDE: 1978 Software re-use, INFORMATICS",{Extending Climate Analytics as a Service to the Earth System Grid Federation Progress Report on the Reanalysis Ensemble Service},"{Tamkin}, G. and {Schnase}, J.~L. and {Duffy}, D. and {Li}, J. and {Strong}, S. and {Thompson}, J.~H."
210,2021,,{An Integrative Experiential Learning System for Exploration and Discovery in STEAM},"{Bernardes}, Sergio and {Howard}, Allison and {Guest}, Andrew and {Beaver}, Henry and {Johnson}, Ian and {Walker}, Ashurst and {Couey}, Ethan and {Tassoni}, Jake and {Savani}, Simin and {Le}, Lillian and {Naidu}, Isha and {Madden}, Marguerite"
211,2020,"0805 Elementary and secondary education, EDUCATION, 0815 Informal education, EDUCATION, 0820 Curriculum and laboratory design, EDUCATION, 0830 Teacher training, EDUCATION",{On board with MOSAiC: how an Arctic research expedition can engage students in Earth's systems thinking},"{Griffith}, J. and {Harden}, L. and {Gold}, A.~U. and {Kay}, J.~E."
212,2018,"0810 Post-secondary education, EDUCATIONDE: 0820 Curriculum and laboratory design, EDUCATIONDE: 0840 Evaluation and assessment, EDUCATIONDE: 0855 Diversity, EDUCATION","{Solar Eclipse 2017, Lunar Observations, NASA Globe and Earth Science Week Events: Education and Public Outreach at the el Paso Community College - Transmountain Campus Through Service Learning}","{Olgin}, J.~G. and {De la O Fernandez}, O."
213,2016,"0820 Curriculum and laboratory design, EDUCATIONDE: 0825 Teaching methods, EDUCATIONDE: 0850 Geoscience education research, EDUCATIONDE: 1824 Geomorphology: general, HYDROLOGY",{The AR Sandbox: Augmented Reality in Geoscience Education},"{Kreylos}, O. and {Kellogg}, L.~H. and {Reed}, S. and {Hsi}, S. and {Yikilmaz}, M.~B. and {Schladow}, G. and {Segale}, H. and {Chan}, L."
214,2004,6605 Education,{Spatial Visualization in Introductory Geology Courses},"{Reynolds}, S.~J."
215,2014,"1816 Estimation and forecasting, 1840 Hydrometeorology, 1873 Uncertainty assessment, 1880 Water management",{Event-based aquifer-to-atmosphere modeling over the European CORDEX domain},"{Keune}, J. and {Goergen}, K. and {Sulis}, M. and {Shrestha}, P. and {Springer}, A. and {Kusche}, J. and {Ohlwein}, C. and {Kollet}, S.~J."
216,2014,"0810 Post-secondary education, 0820 Curriculum and laboratory design, 0825 Teaching methods, 0850 Geoscience education research",{Google Earth Grand Tour Themes},"{De Paor}, D.~G. and {Whitmeyer}, S.~J. and {Bentley}, C. and {Dordevic}, M.~M."
217,2021,,{Reconciling models and observations to improve our understanding of hydrologic connectivity along river corridors},"{Alvarez}, Oscar and {Gomez-Velez}, Jesus"
218,2019,"0805 Elementary and secondary education, EDUCATION, 0810 Post-secondary education, EDUCATION, 0815 Informal education, EDUCATION, 0850 Geoscience education research, EDUCATION",{Innovative Technologies in Teaching and Learning: Incorporating Recent Developments in Virtual and Augmented Reality into Active Learning at the University of Georgia},"{Bernardes}, S. and {Howard}, A. and {Mendki}, A. and {Walker}, A. and {Bhanderi}, D. and {Le}, L. and {Tsao}, A.~L. and {Rukangu}, A."
219,2016,"0845 Instructional tools, EDUCATIONDE: 1926 Geospatial, INFORMATICSDE: 1928 GIS science, INFORMATICSDE: 1992 Virtual globes, INFORMATICS",{Minerva: An Integrated Geospatial/Temporal Toolset for Real-time Science Decision Making and Data Collection},"{Lees}, D.~S. and {Cohen}, T. and {Deans}, M.~C. and {Lim}, D.~S.~S. and {Marquez}, J. and {Heldmann}, J.~L. and {Hoffman}, J. and {Norheim}, J. and {Vadhavk}, N."
220,2005,"0805 Elementary and secondary education, 0810 Post-secondary education, 0825 Teaching methods, 0830 Teacher training, 0845 Instructional tools",{Improving Geoscience Outreach Through Multimedia Enhanced Web Sites - An Example From Connecticut},"{Hyatt}, J.~A. and {Coron}, C.~R. and {Schroeder}, T.~J. and {Fleming}, T. and {Drzewiecki}, P.~A."
221,2015,"0815 Informal education, EDUCATION, 0825 Teaching methods, EDUCATION, 0845 Instructional tools, EDUCATION, 1952 Modeling, INFORMATICS","{Novel Web-based Education Platforms for Information Communication utilizing Gamification, Virtual and Immersive Reality}","{Demir}, I."
222,2001,"1620 Climate dynamics (3309), 3300 METEOROLOGY AND ATMOSPHERIC DYNAMICS",{A test for evaluating the downscaling ability of one-way nested regional climate models: the Big-Brother Experiment},"{Denis}, B. and {Laprise}, R. and {de Elia}, R. and {Caya}, d and {Cote}, J."
